fixture_id,team,player_id,player_name,position,grid,is_starter
1030305,Paris Saint Germain,381.0,Danilo Pereira,D,2:3,1
1030305,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1030305,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1030305,Paris Saint Germain,311083.0,C. Ndour,M,3:3,1
1030305,Paris Saint Germain,128384.0,Vitinha,M,3:2,1
1030305,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:1,1
1030305,Paris Saint Germain,930.0,Carlos Soler,F,4:3,1
1030305,Paris Saint Germain,746.0,Marco Asensio,F,4:2,1
1030305,Paris Saint Germain,338856.0,N. Lemina,Unknown,4:1,1
1030305,Paris Saint Germain,310196.0,Ismaël Gharbi,M,0-0,0
1030305,Paris Saint Germain,258.0,Juan Bernat,D,0-0,0
1030305,Paris Saint Germain,263.0,L. Kurzawa,D,0-0,0
1030305,Paris Saint Germain,328.0,Fabián Ruiz,M,0-0,0
1030305,Paris Saint Germain,386287.0,E. Mbappé,Unknown,0-0,0
1030305,Paris Saint Germain,386275.0,I. Housni,F,0-0,0
1030305,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0
1030305,Paris Saint Germain,257.0,Marquinhos,D,0-0,0
1030305,Paris Saint Germain,273.0,M. Verratti,M,0-0,0
1030305,Paris Saint Germain,513.0,Renato Sanches,M,0-0,0
1030305,Paris Saint Germain,174565.0,H. Ekitike,F,0-0,0
1030305,Paris Saint Germain,409217.0,Serif Nhaga,D,0-0,0
1030305,Paris Saint Germain,927.0,Lee Kang-In,M,0-0,0
1030305,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1030305,Paris Saint Germain,262.0,P. Kimpembe,D,0-0,0
1030305,Paris Saint Germain,276.0,Neymar,F,0-0,0
1030305,Paris Saint Germain,349189.0,L. Mouquet,Unknown,0-0,0
1030305,Al-Nassr,193288.0,Nawaf Al Aqidi,G,1:1,1
1030305,Al-Nassr,44309.0,Sultan Al Ghannam,D,2:4,1
1030305,Al-Nassr,44507.0,Ali Lajami,D,2:3,1
1030305,Al-Nassr,44303.0,Abdullah Madu,D,2:2,1
1030305,Al-Nassr,22002.0,G. Konan,D,2:1,1
1030305,Al-Nassr,30807.0,S. Fofana,M,3:2,1
1030305,Al-Nassr,201.0,M. Brozović,M,3:1,1
1030305,Al-Nassr,147812.0,Ayman Yahya,M,4:3,1
1030305,Al-Nassr,12724.0,Talisca,M,4:2,1
1030305,Al-Nassr,44447.0,Abdulrahman Ghareeb,M,4:1,1
1030305,Al-Nassr,874.0,Cristiano Ronaldo,F,5:1,1
1030305,Al-Nassr,44373.0,Abdulmajeed Al Sulaiheem,M,0-0,0
1030305,Al-Nassr,378.0,Alex Telles,D,0-0,0
1030305,Al-Nassr,44315.0,Abdullah Al Khaibari,M,0-0,0
1030305,Al-Nassr,44475.0,Abdulelah Al Amri,D,0-0,0
1030305,Al-Nassr,44701.0,Khalid Al Ghannam,F,0-0,0
1030305,Al-Nassr,134995.0,Nawaf Boushal,D,0-0,0
1030305,Al-Nassr,44509.0,Ali Al Hassan,M,0-0,0
1030305,Al-Nassr,44413.0,Mohammed Al Fatil,D,0-0,0
1030305,Al-Nassr,2641.0,Abdulfattah Adam,Unknown,0-0,0
1030305,Al-Nassr,37121.0,Mukhtar Ali,D,0-0,0
1030305,Al-Nassr,351914.0,Abdulaziz Al Elewai,Unknown,0-0,0
1030305,Al-Nassr,402635.0,Muhammad Sahlouli,Unknown,0-0,0
1030305,Al-Nassr,44296.0,Waleed Abdullah,G,0-0,0
1030305,Al-Nassr,44692.0,Sami Al Naji,M,0-0,0
1030305,Al-Nassr,44589.0,Amin Al Bukhari,G,0-0,0
1030313,Paris Saint Germain,1622.0,G. Donnarumma,Unknown,0-0,1
1030313,Paris Saint Germain,263.0,L. Kurzawa,Unknown,0-0,1
1030313,Paris Saint Germain,257.0,Marquinhos,Unknown,0-0,1
1030313,Paris Saint Germain,198.0,M. Škriniar,Unknown,0-0,1
1030313,Paris Saint Germain,381.0,Danilo Pereira,Unknown,0-0,1
1030313,Paris Saint Germain,51494.0,M. Ugarte,Unknown,0-0,1
1030313,Paris Saint Germain,128384.0,Vitinha,Unknown,0-0,1
1030313,Paris Saint Germain,310196.0,Ismaël Gharbi,Unknown,0-0,1
1030313,Paris Saint Germain,336657.0,W. Zaïre-Emery,Unknown,0-0,1
