player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
Vivaldo Semedo,Udinese,Serie A,18,Forward,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2249,7.0,0.0,0.0,0.21,0.0111,0.0,-3.0986,1
Antoine Semenyo,Bournemouth,Premier League,23,Midfielder,2,1,102,0,0.0,0.91,0.0,10.0,0.0,61.1,0.91,0.91,0.91,1.82,0.91,2.73,0.91,0.0,0.0,2250,7.306,0.5,0.0,0.4414,0.5667,0.91,-0.2823,0
Marvin Senaya,Strasbourg,Ligue 1,22,Defender,1,0,9,0,0.0,0.0,0.0,40.0,0.0,80.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2251,7.4,0.0,0.0,0.382,0.1,3.0,-1.0052,0
Marcos Senesi,Bournemouth,Premier League,25,Defender,18,17,1428,1,0.0,0.13,0.06,36.2,0.19,78.3,2.08,1.45,1.38,0.31,0.19,0.5,0.94,0.13,0.0,2252,7.485,0.6129,0.05555555555555555,0.5204,0.8815,1.681,0.6792,0
Stefano Sensi,Monza,Serie A,27,Midfielder,14,12,966,2,0.0,1.21,0.56,63.8,1.59,85.7,3.46,1.21,1.12,1.78,0.47,2.99,1.12,0.47,0.0,2253,7.605,0.264,0.14285714285714285,0.4952,0.7667,2.083,0.3725,0
Jaime Seoane,Getafe,La Liga,26,Midfielder,11,2,287,0,0.0,0.63,0.0,22.8,1.88,80.2,3.13,0.31,0.94,0.94,0.63,1.25,1.25,0.0,0.0,2254,7.401,0.6702,0.0,0.5165,0.2899,1.627,0.6318,0
Luigi Sepe,Salernitana,Serie A,31,Goalkeeper,15,15,1350,0,0.0,0.0,0.0,24.9,0.0,67.6,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.0,2255,7.328,0.0,0.0,0.355,1.0,0.0,-1.3338,0
Suat Serdar,Hertha BSC,Bundesliga,25,Midfielder,18,16,1264,4,0.0,1.29,0.36,21.0,0.71,70.7,2.57,1.21,2.29,3.36,1.57,1.43,1.29,0.29,0.0,2256,7.739,0.4673,0.2222222222222222,0.5337,0.7802,2.078,0.8411,0
Leonardo Sernicola,Cremonese,Serie A,25,Defender,17,15,1355,1,0.07,1.19,0.26,23.8,0.99,64.4,1.99,1.59,0.79,1.46,0.4,1.66,1.79,0.33,0.0,2257,7.41,0.274,0.058823529411764705,0.4235,0.8856,1.51,-0.5001,0
Ryan Sessegnon,Tottenham,Premier League,22,Defender,17,9,813,2,0.0,2.0,0.67,31.1,0.67,71.8,1.89,0.67,0.89,1.11,0.44,0.67,1.67,0.44,0.0,2258,7.537,0.3964,0.11764705882352941,0.4843,0.5314,1.224,0.2399,0
