player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly,z_rating,z_performance_score,z_goals,z_pass_accuracy,z_defensive_impact,anomaly_score,anomaly_type
Marcão,Sevilla,La Liga,26,Defender,4,4,360,0,0.0,0.0,0.0,46.0,0.0,87.2,0.5,1.25,0.75,0.25,0.25,1.5,1.25,0.5,0.0,1543,7.411,1.0,0.0,0.5967,1.0,0.8,1.6079,0,-0.2603,1.6079,-0.5103,0.893,-0.4692,0.7481,Normal
Solly March,Brighton,Premier League,28,Defender,21,21,1807,5,0.2,2.34,0.9,31.0,1.54,72.7,1.49,0.9,1.24,3.28,1.49,1.49,1.59,0.1,0.0,1544,7.873,0.4543,0.238095238095238,0.5439,0.9561,1.238,0.9653,0,1.7918,0.9653,1.9727,-0.2127,-0.0132,0.9911,Normal
Agustín Marchesín,Celta Vigo,La Liga,34,Goalkeeper,19,19,1710,0,0.0,0.0,0.0,23.6,0.0,70.7,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.11,0.0,1545,7.348,0.0,0.0,0.3618,1.0,0.0,-1.2511,0,-0.5401,-1.2511,-0.5103,-0.3653,-1.3019,0.7937,Normal
Vincent Marchetti,Ajaccio,Ligue 1,25,Midfielder,21,20,1655,0,0.05,1.41,0.38,32.9,0.54,80.1,2.17,0.82,0.65,3.04,1.79,1.36,1.2,0.22,0.0,1546,7.393,0.5888,0.0,0.4998,0.8757,1.309,0.4285,0,-0.3402,0.4285,-0.5103,0.3516,0.0607,0.3383,Normal
Riccardo Marchizza,Sassuolo,Serie A,24,Defender,4,1,107,0,0.83,0.0,0.0,30.8,0.83,71.2,0.83,0.0,0.0,0.83,0.0,0.0,0.83,0.0,0.0,1547,7.414,0.0,0.0,0.3648,0.2972,0.332,-1.2145,0,-0.2469,-1.2145,-0.5103,-0.3271,-0.9563,0.651,Normal
Gian Marco Ferrari,Sassuolo,Serie A,30,Defender,19,17,1529,1,0.0,0.29,0.06,41.4,0.06,85.0,1.12,0.88,1.0,0.12,0.0,1.41,1.0,0.29,0.0,1548,7.51,0.0,0.0526315789473684,0.4111,0.8942,1.012,-0.651,0,0.1795,-0.651,-0.0137,0.7252,-0.2485,0.3636,Normal
Emiliano Marcondes,Bournemouth,Premier League,27,Midfielder,1,0,9,0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1549,7.5,0.0,0.0,0.425,0.1,0.0,-0.4819,0,0.135,-0.4819,-0.5103,1.8691,-1.3019,0.8596,Normal
Óscar de Marcos,Athletic Club,La Liga,33,Defender,21,19,1619,0,0.22,0.06,0.0,47.1,1.39,77.8,2.0,0.78,1.33,0.83,0.28,0.5,1.5,0.17,0.0,1550,7.396,0.3373,0.0,0.4449,0.8566,1.433,-0.2397,0,-0.3269,-0.2397,-0.5103,0.1762,0.1898,0.2886,Normal
José Mari,Cádiz,La Liga,35,Midfielder,12,2,323,0,0.0,0.56,0.0,34.7,1.39,82.2,3.61,1.39,0.56,1.11,0.56,1.94,1.11,0.56,0.0,1551,7.383,0.5045,0.0,0.4868,0.2991,2.029,0.2703,0,-0.3846,0.2703,-0.5103,0.5117,0.8102,0.4974,Normal
Pablo Marí,Monza,Serie A,29,Defender,14,12,1138,1,0.0,0.4,0.16,44.7,0.08,86.3,1.43,1.11,0.32,0.08,0.08,0.48,0.79,0.16,0.0,1552,7.523,1.0,0.0714285714285714,0.6197,0.9032,1.001,1.8878,0,0.2372,1.8878,-0.0137,0.8244,-0.2599,0.6446,Normal
