fixture_id,team,player_id,player_name,position,grid,is_starter,match_importance,recent_form,result,performance_score,fatigue_index,defensive_impact,anomaly_z,rating,pass_accuracy,duels_won_pct,goals,assists,minutes,appearances,is_goalkeeper,is_defender,is_midfielder,is_forward
1029862,Paris Saint Germain,307835.0,Beraldo,D,0-0,0,0.5084745762711864,0.7333,W,0.4557,0.9067,6.5,1.2718,7.06,59.0,0.6296296296296297,0.0,0.0,408.0,5.0,0,1,0,0
1029862,Paris Saint Germain,41585.0,Gonçalo Ramos,F,0-0,0,0.5084745762711864,0.7333,W,0.4319,0.5437,12.1,1.1621,7.188888,0.0,0.5120481927710844,11.0,1.0,1419.0,29.0,0,0,0,1
1029862,Paris Saint Germain,41585.0,Gonçalo Ramos,F,0-0,0,0.5084745762711864,0.7333,W,0.5199,0.6833,0.8,1.568,7.25,0.0,0.3870967741935484,3.0,0.0,246.0,4.0,0,0,0,1
1029862,Paris Saint Germain,41585.0,Gonçalo Ramos,F,0-0,0,0.5084745762711864,0.7333,W,0.2784,0.3349,1.6,0.454,6.614285,0.0,0.4,0.0,0.0,211.0,7.0,0,0,0,1
1029862,Paris Saint Germain,731.0,K. Navas,G,0-0,0,0.5084745762711864,0.7333,W,0.204,1.0,0.0,0.1108,6.8,0.0,0.0,0.0,0.0,360.0,4.0,1,0,0,0
1029862,Paris Saint Germain,731.0,K. Navas,G,0-0,0,0.5084745762711864,0.7333,W,0.222,1.0,0.0,0.1938,7.4,0.0,0.0,0.0,0.0,180.0,2.0,1,0,0,0
1029862,Paris Saint Germain,731.0,K. Navas,G,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1029862,Paris Saint Germain,731.0,K. Navas,G,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1029862,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0,0.5084745762711864,0.7333,W,0.3224,0.5037,8.4,0.6569,6.913636,0.0,0.45,2.0,2.0,1088.0,24.0,0,0,1,0
1029862,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0,0.5084745762711864,0.7333,W,0.497,1.0,0.9,1.4623,8.1,77.0,0.5,0.0,2.0,180.0,2.0,0,0,1,0
1029862,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0,0.5084745762711864,0.7333,W,0.189,0.0389,0.0,0.0416,6.3,0.0,0.0,0.0,0.0,7.0,2.0,0,0,1,0
1029862,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0,0.5084745762711864,0.7333,W,0.0,0.6194,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,223.0,4.0,0,0,1,0
1029862,Paris Saint Germain,1146.0,N. Mukiele,D,0-0,0,0.5084745762711864,0.7333,W,0.3213,0.55,10.2,0.6519,6.86,0.0,0.5773195876288659,0.0,0.0,792.0,16.0,0,1,0,0
1029862,Paris Saint Germain,1146.0,N. Mukiele,D,0-0,0,0.5084745762711864,0.7333,W,0.3901,1.0,0.8,0.9692,8.9,0.0,0.6153846153846154,0.0,1.0,90.0,1.0,0,1,0,0
1029862,Paris Saint Germain,1146.0,N. Mukiele,D,0-0,0,0.5084745762711864,0.7333,W,0.2602,0.2,0.3,0.37,6.45,0.0,0.3333333333333333,0.0,0.0,54.0,3.0,0,1,0,0
1029862,Paris Saint Germain,1146.0,N. Mukiele,D,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
